"Palavra";"N"
"so";11
"single";2
"simultaneously";1
"similar";2
"significant";1
"sign";1
"show";6
"should";6
"short";1
"shared";1
"share";2
"shall";5
"servicing";1
"service";2
"serves";1
"server";5
"separately";3
"separate";1
"separable";1
"semiconductor";1
"selling";2
"sell";1
"see";3
"sections";3
"section";15
"secondarily";1
"scripts";1
"scope";1
"school";1
"saying";1
"satisfy";3
"same";5
"sale";2
"sake";1
"safest";1
"s";12
"runs";1
"running";3
"run";8
"rules";1
"royalty";3
"rom";1
"risk";1
"rights";19
"right";3
"revised";2
"reviewing";1
"return";1
"retains";1
"results";1
"resulting";3
"result";1
"restrictions";2
"restriction";3
"restricting";1
"restrict";1
"responsible";1
"responsibilities";2
"respect";2
"resolved";1
"requiring";4
"requires";1
"requirements";5
"requirement";5
"required";4
"require";5
"represent";1
"repair";1
"rendered";1
"render";1
"remove";2
"removal";1
"remains";3
"remain";1
"relying";2
"relicensing";2
"relevant";2
"released";2
"relationship";1
"reinstated";3
"regenerate";1
"regardless";5
"regard";1
"refrain";1
"refers";3
"referring";1
"redistribute";3
"recognized";1
"recipients";7
"recipient";5
"receiving";1
"receives";3
"received";8
"receive";8
"receipt";1
"reasonable";6
"reason";1
"ready";1
"reading";1
"readily";1
"readable";1
"read";1
"quality";1
"qualify";1
"pursuant";1
"purposes";3
"purpose";5
"published";3
"publish";2
"publicly";2
"publicity";1
"public";25
"proxy";2
"provisionally";1
"provision";3
"provided";13
"provide";5
"prove";1
"protocols";1
"protection";2
"protecting";2
"protect";3
"proprietary";3
"property";1
"propagation";4
"propagating";1
"propagate";9
"prominently";1
"prominent";3
"prohibits";1
"prohibiting";2
"prohibit";2
"programs";6
"programming";1
"programmer";1
"program";52
"products";3
"product";21
"produce";2
"procuring";1
"procedures";1
"problems";3
"private";1
"prior";3
"primarily";1
"price";4
"previous";2
"prevented";1
"prevent";2
"preservation";1
"presents";1
"present";1
"preferred";1
"predecessor";3
"precisely";1
"precise";1
"preamble";1
"practice";2
"practical";1
"power";1
"possible";1
"possibility";1
"possession";3
"possesses";1
"portion";2
"pointer";1
"plus";1
"please";1
"place";5
"pieces";1
"physically";1
"physical";6
"pertinent";1
"personal";2
"perpetuity";1
"permitted";5
"permits";1
"permit";3
"permissive";4
"permissions";10
"permission";10
"permanently";4
"performing";2
"performance";1
"peers";1
"peer";4
"payment";1
"pattern";1
"patents";6
"patent";23
"password";1
"pass";1
"party";12
"parts";6
"parties";8
"particular";10
"part";10
"paragraphs";1
"paragraph";2
"paper";1
"packaging";1
"packaged";1
"owned";1
"own";1
"outside";1
"output";3
"out";1
"our";2
"otherwise";6
"others";4
"other";30
"original";2
"origin";1
"organizations";2
"organization";2
"org";4
"order";2
"or";151
"options";1
"option";3
"operation";2
"operating";1
"operated";1
"operate";1
"only";8
"one";7
"on";31
"official";1
"offering";2
"offered";1
"offer";8
"of";221
"occurs";2
"occurring";1
"occasionally";1
"obligations";4
"obligated";1
"obligate";1
"object";21
"numbered";2
"number";2
"notwithstanding";2
"notify";1
"notifies";1
"notices";11
"notice";8
"nothing";2
"not";51
"normally";2
"normal";1
"nor";1
"noncommercially";1
"non";9
"no";17
"next";1
"new";7
"network";8
"neither";1
"needed";3
"need";5
"necessary";2
"nature";1
"names";2
"name";3
"must";14
"most";5
"moreover";1
"more";7
"modifying";2
"modify";12
"modifies";2
"modified";13
"modifications";3
"modification";6
"model";1
"mode";2
"misrepresentation";1
"might";1
"methods";1
"met";1
"merging";1
"mere";1
"merchantability";2
"menu";1
"meets";1
"meet";1
"medium";6
"measures";3
"measure";1
"means";18
"meaning";1
"may";31
"materially";1
"material";13
"masks";1
"marks";1
"marked";2
"march";1
"manufacturer";1
"manner";3
"making";8
"makes";1
"make";14
"major";5
"maintain";1
"mail";1
"made";2
"machine";1
"losses";1
"loss";1
"long";3
"local";2
"litigation";1
"list";2
"linking";1
"linked";1
"link";1
"line";2
"limiting";3
"limited";2
"limitation";2
"limit";2
"likewise";1
"like";2
"licensors";4
"licensing";1
"licenses";9
"licensees";2
"licensee";1
"licensed";3
"license";102
"library";3
"libraries";3
"liable";2
"liability";7
"lgpl";1
"lesser";1
"legal";11
"least";2
"lawsuit";1
"laws";2
"law";10
"later";5
"larger";1
"language";2
"knowledge";1
"knowingly";2
"know";2
"kinds";2
"kind";2
"keys";1
"key";1
"kernel";1
"keep";3
"june";1
"itself";1
"its";10
"item";1
"it";52
"is";70
"irrevocable";1
"invalidate";1
"into";5
"intimate";1
"interpreter";1
"interpretation";1
"interfered";1
"interfaces";3
"interface";7
"interest";2
"interchange";2
"interactive";4
"interaction";3
"intention";1
"intended";1
"intact";3
"instead";1
"installed";3
"installation";4
"install";4
"inside";1
"initiate";1
"infringement";3
"infringed";3
"infringe";2
"information";8
"inform";1
"industrial";1
"individuals";2
"individual";2
"indicating";1
"indicate";1
"independent";1
"indemnification";1
"incorporation";1
"incorporating";1
"incompatible";1
"inclusion";1
"including";8
"includes";4
"included";3
"include";6
"incidental";1
"inc";1
"inaccurate";1
"inability";1
"in";81
"imposed";2
"impose";3
"importing";1
"import";1
"implied";4
"implementation";2
"implement";1
"if";49
"identifiable";1
"idea";1
"hypothetical";1
"https";4
"html";1
"however";6
"how";6
"household";1
"hosts";1
"hope";1
"holders";2
"holder";10
"hereafter";1
"having";2
"have";14
"has";9
"had";1
"gui";1
"guarantee";1
"greatest";1
"gratis";2
"grants";3
"granted";7
"grant";5
"gpl";7
"governed";3
"gnu";22
"giving";2
"gives";1
"given";3
"give";6
"get";4
"generate";1
"generally";1
"general";23
"future";2
"further";8
"fundamentally";1
"functioning";1
"full";1
"fulfilling";1
"fsf";1
"from";29
"freedoms";1
"freedom";8
"free";20
"foundation";6
"found";1
"forms";1
"format";1
"form";11
"force";1
"forbid";2
"for";86
"following";3
"follow";3
"flow";1
"fixed";2
"fitness";2
"first";2
"find";2
"finally";2
"files";4
"file";2
"fee";4
"feature";1
"favor";1
"fashion";1
"family";1
"fair";1
"failure";1
"fails";1
"facilities";2
"f";1
"extent";6
"extensions";1
"extended";1
"extend";2
"expressly";1
"expressed";1
"express";2
"explicitly";2
"explains";1
"expects";1
"expected";1
"exercising";1
"exercise";4
"executing";1
"execute";1
"executable";3
"excuse";1
"exclusively";2
"exclusive";1
"exclusion";1
"excluding";1
"excluded";1
"exceptions";2
"except";4
"example";5
"exact";1
"everyone";2
"every";1
"ever";1
"event";1
"even";2
"essential";3
"erroneously";1
"equivalent";3
"entity";2
"entirely";1
"entire";4
"entered";1
"ensure";2
"enforcing";2
"enforce";2
"end";1
"enables";1
"enable";1
"employer";1
"embodied";2
"electronic";1
"either";9
"efforts";1
"effectively";2
"effective";1
"effected";1
"effect";1
"earlier";2
"each";10
"e";2
"dynamically";1
"dwelling";1
"durable";2
"downstream";2
"doubtful";1
"domains";2
"does";13
"documented";1
"document";3
"do";16
"distribution";5
"distributing";1
"distributed";1
"distribute";5
"distinguishing";1
"displays";2
"displayed";1
"display";2
"discriminatory";2
"disclaiming";1
"disclaimer";3
"disclaim";1
"directly";2
"directions";1
"direction";1
"differently";1
"different";4
"differ";1
"devices";1
"development";1
"developers";3
"develop";1
"determining";1
"details";3
"detail";1
"designed";6
"designated";1
"deprive";1
"denying";1
"deny";1
"denominated";1
"denied";1
"definitions";1
"definition";2
"defined";1
"defenses";1
"defective";1
"deemed";1
"declining";1
"decide";1
"december";1
"days";2
"date";1
"data";3
"danger";1
"damages";3
"d";4
"customer";1
"customarily";2
"cure";1
"cross";1
"criterion";1
"covered";41
"coverage";2
"covenant";1
"courts";1
"court";1
"course";1
"country";3
"countries";1
"counterclaim";1
"could";3
"cost";2
"corresponding";23
"correction";1
"copyrighted";1
"copyrightable";1
"copyright";30
"copyleft";1
"copying";4
"copy";25
"copies";14
"conveys";2
"conveying";15
"conveyed";3
"conveyance";1
"convey";26
"convenient";1
"controlled";1
"control";6
"contributor";10
"contrast";1
"contradict";1
"contractual";2
"continued";1
"continue";2
"context";1
"contents";1
"content";1
"contains";2
"containing";1
"contain";1
"contact";1
"consumer";4
"construed";1
"constitutes";1
"constantly";1
"conspicuously";1
"consistent";2
"considered";1
"consider";1
"consequential";1
"consequence";3
"connection";4
"conditions";14
"conditioned";1
"concerns";1
"concerning";1
"computers";1
"computer";2
"component";5
"comply";1
"compliance";1
"compiler";1
"compilations";1
"compilation";3
"communication";2
"common";1
"commitment";2
"commercial";1
"commands";3
"comes";2
"combined";2
"combine";1
"combination";1
"collect";1
"code";34
"closely";1
"clearly";1
"clear";1
"class";1
"claims";4
"claim";2
"civil";1
"circumvention";5
"circumstances";1
"choosing";1
"choose";2
"charge";8
"characterized";1
"changing";1
"changed";1
"change";5
"cessation";1
"certain";4
"cease";1
"cause";2
"cases";2
"case";2
"carry";2
"cannot";3
"can";13
"called";3
"c";8
"by";43
"but";16
"business";1
"brief";1
"box";1
"both";2
"body";1
"beyond";1
"between";1
"best";1
"benefit";1
"below";1
"believe";1
"being";2
"behalf";1
"been";6
"because";1
"be";29
"basic";1
"based";6
"b";7
"away";1
"avoid";1
"available";9
"automatically";4
"automatic";1
"authors";7
"authorizing";1
"authorizes";2
"authorized";1
"authorization";1
"author";4
"attributions";1
"attributed";1
"attempt";1
"attach";2
"at";8
"assures";1
"assumptions";2
"assumption";1
"assume";1
"associated";1
"assets";1
"assert";1
"asking";1
"as";38
"article";1
"arrangement";3
"arrange";2
"arising";1
"arise";1
"area";1
"are";28
"approximates";1
"appropriately";1
"appropriate";8
"apply";14
"applies";2
"applied";1
"applications";1
"applicable";9
"anything";4
"anyone";4
"any";50
"anti";1
"and";98
"ancillary";1
"an";26
"among";1
"although";1
"alternative";1
"also";7
"already";1
"along";5
"allowed";3
"allow";1
"alleging";1
"all";21
"aim";1
"agreement";3
"agreed";1
"agree";1
"aggregate";3
"against";2
"after";2
"affirms";1
"affirmed";1
"affero";3
"affects";1
"advised";1
"adversely";1
"adopted";1
"addressed";1
"address";1
"additional";14
"added";3
"add";4
"adapt";1
"actually";1
"actual";1
"activity";1
"activities";3
"actions";1
"across";1
"acquired";2
"acknowledges";1
"achieve";1
"according";1
"accord";4
"accompanies";1
"accompanied";3
"accessible";1
"access";6
"acceptance";4
"accept";2
"abuse";1
"absolutely";1
"absolute";1
"absence";1
"above";3
"about";1
"ability";1
"a";184
